"languages","charset","n_pages_languages","n_pages_charset","n_pages","loglikelihood","prob_cs_given_lang","prob_lang_given_cs"
"eng","UTF-8","1218883023","2820276978","1157002802","-0.6284475329568924","0.9492320265092412","0.4102443877056674"
"eng","ISO-8859-1","1218883023","103949213","50188853","0.08563269642145754","0.04117610308204284","0.4828209040889997"
"eng","windows-1252","1218883023","15713096","8104691","0.09054707908816491","0.006649277122633285","0.5157921137883966"
"eng","windows-1251","1218883023","31259368","847498","-4.397732568505538","6.95307083623233E-4","0.027111808530485965"
"eng","US-ASCII","1218883023","917488","824972","-1.9351082251742469","6.768262289596267E-4","0.8991638037772701"
"eng","ISO-8859-15","1218883023","3548052","393610","-1.7659260530751328","3.2292680476525104E-4","0.1109369310258136"
"eng","GB2312","1218883023","34551093","239064","-7.086927756139995","1.961336695063641E-4","0.006919144352394293"
"eng","ISO-8859-2","1218883023","5794535","198664","-3.948426824783817","1.6298856924845364E-4","0.03428471827333859"
"eng","windows-1250","1218883023","4164581","156452","-3.7727140073530596","1.2835686201857944E-4","0.03756728468001943"
"eng","EUC-JP","1218883023","7893108","150014","-5.096450768786917","1.2307497698243024E-4","0.01900569458824078"
"eng","windows-1256","1218883023","2753473","104932","-3.745498539157347","8.608865495700648E-5","0.03810896275358429"
"eng","GB18030","1218883023","3063488","67600","-4.805116669287436","5.54606133028403E-5","0.022066350512879435"
"eng","EUC-KR","1218883023","4504500","62465","-5.717137310960065","5.124773979233609E-5","0.013867243867243867"
"eng","Shift_JIS","1218883023","11145787","62066","-7.523660314274131","5.092039090612554E-5","0.005568561466319067"
"eng","GBK","1218883023","15129860","58628","-8.244546621372113","4.80997756911083E-5","0.003874986285398543"
"eng","ISO-8859-7","1218883023","424289","53326","-1.5502845358097908","4.37498914938944E-5","0.12568320177991887"
"eng","windows-1255","1218883023","740287","53004","-2.555530670259886","4.348571519975958E-5","0.07159925812556482"
"eng","ISO-8859-9","1218883023","1190057","48874","-3.60239474016232","4.0097367079334566E-5","0.041068621082855694"
"eng","Big5","1218883023","1970663","41535","-4.895101498072523","3.407628067357207E-5","0.021076663031680203"
"eng","KOI8-R","1218883023","305377","34397","-1.7398535752547224","2.822009934582541E-5","0.11263782144693281"
"eng","windows-1254","1218883023","838443","25118","-4.210322904009647","2.060739178906424E-5","0.029957910078562286"
"eng","ISO-8859-6","1218883023","20187","19659","-4.474153117425623","1.6128701137877773E-5","0.9738445534254718"
"eng","ISO-8859-8","1218883023","23827","17692","-0.4427806174467235","1.4514928558488914E-5","0.7425189910605615"
"eng","x-windows-874","1218883023","519799","16792","-4.064390550020545","1.3776547612149325E-5","0.03230479473796602"
"eng","ISO-8859-5","1218883023","58429","15165","-0.43236632652477686","1.2441718945822089E-5","0.2595457735028838"
"eng","x-MacCyrillic","1218883023","117786","14423","-1.5950603187079355","1.1832964876728782E-5","0.12245088550421952"
"eng","windows-1257","1218883023","291902","14110","-3.2918450524013743","1.1576172392057348E-5","0.048338140882899054"
"eng","UTF-16LE","1218883023","29580","12363","0.03907304980917502","1.0142892932884831E-5","0.4179513184584179"
"eng","TIS-620","1218883023","478490","12288","-4.509698739564508","1.0081361187356532E-5","0.025680787477272253"
"eng","IBM866","1218883023","15935","9827","-0.01835119157317268","8.06229951075461E-6","0.6166928145591465"
"eng","windows-1253","1218883023","193046","9438","-3.2703248181187092","7.743154857281165E-6","0.04888990188866902"
"eng","Big5-HKSCS","1218883023","23041","4920","-0.7020820370625137","4.036482506656424E-6","0.21353239876741462"
"eng","ISO-8859-3","1218883023","8076","4303","0.08503482242477106","3.53028134677695E-6","0.5328132738979693"
"eng","ISO-2022-JP","1218883023","23204","3525","-1.2321739603885997","2.89199203983006E-6","0.1519134631960007"
"eng","IBM855","1218883023","8840","2906","-0.15593851652286617","2.3841500334031643E-6","0.32873303167420814"
"eng","ISO-8859-4","1218883023","42836","2851","-2.6909025200816923","2.3390267533490783E-6","0.0665561677094033"
"eng","windows-31j","1218883023","57207","2049","-3.865329442688466","1.6810472878331327E-6","0.03581729508626567"
"eng","ISO-8859-13","1218883023","8165","518","-2.7801021074871413","4.2497925578211945E-7","0.06344151867728108"
"eng","UTF-16BE","1218883023","4458","497","-1.7578811952320312","4.077503670341957E-7","0.11148497083894122"
"eng","windows-1258","1218883023","909","389","0.05169240260137666","3.191446534734449E-7","0.42794279427942794"
"eng","KOI8-U","1218883023","5243","204","-3.7061731242739437","1.673663478369737E-7","0.038909021552546254"
"eng","IBM850","1218883023","216","123","0.054710531547097985","1.009120626664106E-7","0.5694444444444444"
"eng","IBM437","1218883023","160","106","-0.12959251724776655","8.696486701332947E-8","0.6625"
"epo","UTF-8","127202","2820276978","125981","-4.318001778765974","0.9904010943224163","4.46697260527012E-5"
"epo","ISO-8859-1","127202","103949213","695","-3.5707235319937713","0.0054637505699595915","6.685957304938903E-6"
"epo","windows-1252","127202","15713096","177","-2.5772963924451435","0.0013914875552271191","1.1264489187872333E-5"
"epo","windows-1251","127202","31259368","131","-4.54400974001352","0.001029858021100297","4.190743715611909E-6"
"epo","ISO-8859-2","127202","5794535","116","-1.4327330768587336","9.119353469285074E-4","2.0018862600709117E-5"
"est","UTF-8","3475603","2820276978","3300060","-1.0806047154496847","0.9494927930491486","0.0011701191144496163"
"est","ISO-8859-1","3475603","103949213","117912","0.023182779915514977","0.0339256238413881","0.001134323162215764"
"est","ISO-8859-4","3475603","42836","25307","10.735517222126655","0.007281326434578403","0.5907881221402559"
"est","windows-1252","3475603","15713096","11586","-0.8331729761030177","0.003333522269373113","7.373467329417449E-4"
"est","windows-1257","3475603","291902","10472","6.8553940716824595","0.0030130023480817573","0.03587505395646484"
"est","ISO-8859-15","3475603","3548052","9248","1.6819803513818223","0.0026608332424618115","0.0026065006939018933"
"est","EUC-JP","3475603","7893108","318","-6.644341059876878","9.149491469537804E-5","4.028831228459056E-5"
"est","windows-1251","3475603","31259368","298","-9.511693753913665","8.574051754472533E-5","9.533142192766022E-6"
"est","ISO-8859-13","3475603","8165","241","6.484044710008211","6.934048566536511E-5","0.029516227801592163"
"eus","UTF-8","636458","2820276978","557408","0.5563800577135586","0.8757969889607798","1.9764299902036076E-4"
"eus","ISO-8859-1","636458","103949213","65566","2.095426316766715","0.10301700976340937","6.307503261232002E-4"
"eus","windows-1252","636458","15713096","9885","2.218243175449879","0.015531268363348406","6.290930826108362E-4"
"eus","ISO-8859-15","636458","3548052","3544","3.1544357028308787","0.00556831715525612","9.988579648776287E-4"
"fao","UTF-8","86207","2820276978","81504","-0.9358451335211743","0.9454452654656814","2.889928919598478E-5"
"fao","ISO-8859-1","86207","103949213","3738","0.4943323294127889","0.04336074796710244","3.5959868209872837E-5"
"fao","windows-1252","86207","15713096","951","1.5439570714750384","0.011031586762095886","6.0522763941619146E-5"
"fas","UTF-8","10777149","2820276978","10767185","-8.974620189763932","0.9990754512162725","0.003817775730536776"
"fas","windows-1256","10777149","2753473","5445","-1.1239077818709498","5.052356611196523E-4","0.0019775025939967454"
"fas","windows-1252","10777149","15713096","2939","-5.828025316182574","2.727066314105892E-4","1.8704143346416264E-4"
"fas","ISO-8859-1","10777149","103949213","1232","-11.287212483162197","1.1431594756646678E-4","1.1851941582280185E-5"
"fas","UTF-16LE","10777149","29580","192","1.2433717518239855","1.78154723480208E-5","0.006490872210953347"
"fij","UTF-8","506","2820276978","456","0.15632000977738064","0.9011857707509882","1.61686246974002E-7"
"fin","UTF-8","8937347","2820276978","8270936","-0.3528032150755842","0.9254352550035262","0.0029326679842152726"
"fin","ISO-8859-1","8937347","103949213","582182","1.2569962609586847","0.06514035988532167","0.005600638842739483"
"fin","windows-1252","8937347","15713096","59277","0.5335607925128132","0.0066325051494587825","0.0037724583366638884"
"fin","ISO-8859-15","8937347","3548052","19864","1.3204444424303599","0.0022225835026882137","0.0055985650717633225"
"fin","EUC-KR","8937347","4504500","3410","-2.667299363955403","3.81544993161841E-4","7.57020757020757E-4"
"fin","US-ASCII","8937347","917488","670","-2.7409373441556673","7.496631830452594E-5","7.3025478262386E-4"
"fin","windows-1251","8937347","31259368","284","-11.49327151863501","3.177676775893338E-5","9.085276452166276E-6"
"fin","ISO-8859-2","8937347","5794535","281","-8.160254927969817","3.144109767697282E-5","4.849396888620053E-5"
"fin","ISO-8859-4","8937347","42836","199","0.9513288372854987","2.2266115436717405E-5","0.0046456251750863755"
"fra","UTF-8","80699516","2820276978","74139550","-0.19071009536374336","0.9187112101143209","0.026288038578599494"
"fra","ISO-8859-1","80699516","103949213","5379323","1.253391671640867","0.06665867735811451","0.051749530802123536"
"fra","windows-1252","80699516","15713096","606964","0.7591362507395634","0.007521284266438475","0.03862790630185165"
"fra","ISO-8859-15","80699516","3548052","543949","3.2559183416384028","0.00674042456462812","0.1533091961448141"
"fra","windows-1256","80699516","2753473","6767","-4.670184002764707","8.38542823478644E-5","0.002457623517644807"
"fra","ISO-8859-2","80699516","5794535","3826","-7.29318169960846","4.7410445435633096E-5","6.602773130199404E-4"
"fra","US-ASCII","80699516","917488","3673","-3.6985044778105123","4.551452328412974E-5","0.004003322114294683"
"fra","windows-1253","80699516","193046","3068","-0.9655062062842518","3.8017576214459575E-5","0.01589258518695026"
"fra","windows-1250","80699516","4164581","2999","-7.120789064638885","3.7162552499075706E-5","7.201204634992092E-4"
"fra","windows-1251","80699516","31259368","2584","-11.431688642671412","3.202001855872345E-5","8.266321955069597E-5"
"fra","windows-1254","80699516","838443","1614","-5.158736024704854","2.0000119951153114E-5","0.0019249966902937946"
"fra","GB18030","80699516","3063488","1402","-8.02755238556988","1.7373090564756298E-5","4.576482754298368E-4"
"fra","ISO-8859-9","80699516","1190057","1295","-6.297660915416307","1.604718422350885E-5","0.001088183171058193"
"fra","EUC-JP","80699516","7893108","478","-12.068659284524928","5.923207767441877E-6","6.055916123281222E-5"
"fra","Shift_JIS","80699516","11145787","465","-12.811863333473841","5.762116342804336E-6","4.171979959782113E-5"
"fra","ISO-8859-5","80699516","58429","374","-2.7651466910402296","4.634476370341552E-6","0.006400931044515566"
"fra","UTF-16LE","80699516","29580","360","-1.491687317034907","4.46099329765497E-6","0.012170385395537525"
"fra","GB2312","80699516","34551093","188","-16.87093262349673","2.3296298332198176E-6","5.4412171562850415E-6"
"fra","EUC-KR","80699516","4504500","172","-12.993144684711682","2.1313634644351522E-6","3.8184038184038185E-5"
"fry","UTF-8","31575","2820276978","28982","-0.17704497313018044","0.9178780680918448","1.0276295635527468E-5"
"fry","ISO-8859-1","31575","103949213","1969","1.1809333615525748","0.06235946159936659","1.8941942350251367E-5"
"fry","windows-1252","31575","15713096","512","2.303859397541778","0.016215360253365004","3.2584285108421665E-5"
"gla","UTF-8","14968","2820276978","14268","-1.227530421750702","0.9532335649385355","5.0590775697917994E-6"
"gla","ISO-8859-1","14968","103949213","438","-0.26289169336006535","0.02926242650988776","4.2135961144794815E-6"
"gla","windows-1251","14968","31259368","163","0.15290743337351345","0.010889898450026725","5.214436836982757E-6"
"gle","UTF-8","67880","2820276978","66526","-2.8761878948752284","0.9800530347672363","2.3588463303053635E-5"
"gle","ISO-8859-1","67880","103949213","1021","-1.5647982764775215","0.01504124926340601","9.82210418466564E-6"
"gle","GB2312","67880","34551093","171","-2.9561251422321897","0.002519151443724219","4.949192200663522E-6"
"gle","windows-1252","67880","15713096","115","-2.1842982398215733","0.001694166175604007","7.318735913024397E-6"
"glg","UTF-8","915494","2820276978","782662","0.8188317302688319","0.8549067497984695","2.7751245927448763E-4"
"glg","ISO-8859-1","915494","103949213","116793","2.4667312238595476","0.12757374706988794","0.0011235582899506897"
"glg","windows-1252","915494","15713096","8206","1.1325370428752273","0.008963466718514813","5.2223953828068E-4"
"glg","ISO-8859-15","915494","3548052","5806","3.4119646217896076","0.006341931241493664","0.0016363908984423"
"glg","windows-1251","915494","31259368","1841","-3.207221034507223","0.0020109361721649733","5.889434488886659E-5"
"glv","UTF-8","2657","2820276978","2251","0.9045882411656911","0.8471960858110651","7.981485568826283E-7"
"glv","ISO-8859-1","2657","103949213","281","2.142648612697425","0.10575837410613474","2.7032431693350096E-6"
"grn","UTF-8","12700","2820276978","11284","0.3694689813019512","0.888503937007874","4.0010254624005235E-6"
"grn","ISO-8859-1","12700","103949213","1192","1.9303350833460136","0.09385826771653544","1.1467138284154205E-5"
"grn","windows-1252","12700","15713096","179","2.0278461858898083","0.014094488188976378","1.1391771551577105E-5"
"guj","UTF-8","15503","2820276978","15230","-3.1207245121237244","0.9823905050635361","5.400178818890462E-6"
"guj","UTF-16LE","15503","29580","219","14.55761472759746","0.014126298135844675","0.007403651115618661"
"hat","UTF-8","12599","2820276978","11881","-0.8537224359619963","0.9430113501071513","4.212706798899381E-6"
"hat","ISO-8859-1","12599","103949213","667","0.8734502007604253","0.05294070958012541","6.416594996250717E-6"
"hau","UTF-8","16047","2820276978","15390","-1.4813541007934945","0.9590577678070668","5.456910835372567E-6"
"hau","ISO-8859-1","16047","103949213","517","-0.07655755043300064","0.032217860036143825","4.973582628278292E-6"
"haw","UTF-8","6278","2820276978","6112","-2.325795046154525","0.9735584581076776","2.167163029616448E-6"
"haw","ISO-8859-1","6278","103949213","119","-1.1102315927853719","0.01895508123606244","1.1447898119247906E-6"
"heb","UTF-8","5328516","2820276978","4891588","-0.17950286292518342","0.9180019352480128","0.0017344353189979484"
"heb","windows-1255","5328516","740287","431327","9.740253855420363","0.08094692781254668","0.5826483512475567"
"heb","windows-1251","5328516","31259368","4241","-5.055867739595438","7.959064024580202E-4","1.356713289916802E-4"
"heb","ISO-8859-8","5328516","23827","546","5.137852180088812","1.0246755381798609E-4","0.022915180257690855"
"heb","ISO-8859-1","5328516","103949213","521","-11.603144464630343","9.777581600580724E-5","5.01206295809089E-6"
"heb","windows-1252","5328516","15713096","216","-9.643103163619918","4.053661469722527E-5","1.3746495280115389E-5"
"hin","UTF-8","423010","2820276978","421422","-6.183692574478078","0.9962459516323491","1.4942574906201287E-4"
